1.0    1.0    1.0    1.0    0.0    
1.07621    1.17712    0.940797    0.869859    0.0357766    
1.15955    1.35726    0.903166    0.760125    0.0727302    
1.24448    1.54491    0.885718    0.667275    0.111773    
1.32536    1.74722    0.889    0.587658    0.154701    
1.38821    1.95161    0.913359    0.524451    0.199458    
1.42561    2.15352    0.9571    0.475085    0.245862    
1.43322    2.35856    1.02198    0.434775    0.2965    
1.40241    2.5727    1.11477    0.399806    0.355496    
1.33502    2.76115    1.22411    0.372092    0.416243    
